A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_NO_PIN_ESCAPE!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_ESCAPE!PIN_PIN_SIGNAL_MODEL!PIN_NO_DRC!PIN_NO_SHAPE_CONNECT!
J!F:/ST-LINK-V2/Hardware/allegro/st-link-v2_pro.brd!Sun Nov 26 21:39:39 2023!-3937.00!-3937.00!3937.00!3937.00!0.01!mils!ST-LINK-V2_PRO!60.433071 mil!2!UP TO DATE!
S!N01643!Q1!1!@\st-link-v2_pro\.\st-link\(sch_1):ins1060@private.\tr_npn_ss8050_25v_1.5a_sot-23.normal\(chips)!TR_NPN_SS8050_25V_1.5A_SOT-23_SOT23-3P95_240X110L53X44N_SS8050!!!F42!!!!!!!!!!
S!3V3_ST!Q1!3!@\st-link-v2_pro\.\st-link\(sch_1):ins1060@private.\tr_npn_ss8050_25v_1.5a_sot-23.normal\(chips)!TR_NPN_SS8050_25V_1.5A_SOT-23_SOT23-3P95_240X110L53X44N_SS8050!!!F42!!!!!!!!!!
S!N01383!Q1!2!@\st-link-v2_pro\.\st-link\(sch_1):ins1060@private.\tr_npn_ss8050_25v_1.5a_sot-23.normal\(chips)!TR_NPN_SS8050_25V_1.5A_SOT-23_SOT23-3P95_240X110L53X44N_SS8050!!!F42!!!!!!!!!!
S!N01643!R17!1!@\st-link-v2_pro\.\st-link\(sch_1):ins97770@private.\res_36k_5%_0402.normal\(chips)!RES_36K_5%_0402_RESC100X50X40L25N_36K,5%!!!F24!!!!!!!!!!
S!GND!R17!2!@\st-link-v2_pro\.\st-link\(sch_1):ins97770@private.\res_36k_5%_0402.normal\(chips)!RES_36K_5%_0402_RESC100X50X40L25N_36K,5%!!!F24!!!!!!!!!!
S!ST_USB_P!R18!1!@\st-link-v2_pro\.\st-link\(sch_1):ins97923@private.\res_1.5k_5%_0402.normal\(chips)!RES_1.5K_5%_0402_RESC100X50X40L25N_1.5K,5%!!!F23!!!!!!!!!!
S!N01383!R18!2!@\st-link-v2_pro\.\st-link\(sch_1):ins97923@private.\res_1.5k_5%_0402.normal\(chips)!RES_1.5K_5%_0402_RESC100X50X40L25N_1.5K,5%!!!F23!!!!!!!!!!
S!GND!SH1!1!@\st-link-v2_pro\.\st-link\(sch_1):ins63038@private.\screw_hole_m1.2.normal\(chips)!SCREW_HOLE_M1.2_MTGP240H140_SCREW_HOLE_M1.2!!!F8!!!!!!!!!!
S!GND!SH2!1!@\st-link-v2_pro\.\st-link\(sch_1):ins63568@private.\screw_hole_m1.2.normal\(chips)!SCREW_HOLE_M1.2_MTGP240H140_SCREW_HOLE_M1.2!!!F7!!!!!!!!!!
S!GND!SH3!1!@\st-link-v2_pro\.\st-link\(sch_1):ins63686@private.\screw_hole_m1.2.normal\(chips)!SCREW_HOLE_M1.2_MTGP240H140_SCREW_HOLE_M1.2!!!F6!!!!!!!!!!
S!GND!SH4!1!@\st-link-v2_pro\.\st-link\(sch_1):ins63804@private.\screw_hole_m1.2.normal\(chips)!SCREW_HOLE_M1.2_MTGP240H140_SCREW_HOLE_M1.2!!!F5!!!!!!!!!!
S!U5V!D1!A!@\st-link-v2_pro\.\st-link\(sch_1):ins3263@private.\diode_1n4007ws_50v_1a_sod-323.normal\(chips)!DIODE_1N4007WS_50V_1A_SOD-323_SOD265X130X110L32X32N_1N4007WS!!!F62!!!!!!!!!!
S!N02559!D1!C!@\st-link-v2_pro\.\st-link\(sch_1):ins3263@private.\diode_1n4007ws_50v_1a_sod-323.normal\(chips)!DIODE_1N4007WS_50V_1A_SOD-323_SOD265X130X110L32X32N_1N4007WS!!!F62!!!!!!!!!!
